session_id,services,services_str
1000_2023-09-15 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1000_2023-10-29 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1000_2023-12-23 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1000_2023-12-30 15:00:00,"[13, 10, 1, 4, 18]","13,10,1,4,18"
1000_2024-01-06 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1000_2024-02-22 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1000_2024-04-25 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1000_2024-08-22 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1000_2024-11-14 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1000_2025-01-06 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
1000_2025-02-27 15:00:00,"[1, 14, 7, 12, 13]","1,14,7,12,13"
1000_2025-03-26 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1000_2025-05-04 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1001_2023-04-27 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1001_2023-05-14 15:00:00,"[10, 13, 4, 11, 16]","10,13,4,11,16"
1001_2023-06-28 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1001_2024-06-03 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1001_2024-07-08 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1001_2024-07-19 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1001_2024-10-15 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1001_2025-08-18 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1001_2025-09-02 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1001_2025-10-25 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1002_2023-08-12 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1002_2023-08-14 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1002_2024-01-23 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1002_2024-05-16 15:00:00,"[7, 1, 18, 12, 2]","7,1,18,12,2"
1002_2024-08-03 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1002_2025-06-01 15:00:00,"[12, 1, 11, 7, 9]","12,1,11,7,9"
1002_2025-07-19 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1003_2023-04-12 15:00:00,"[7, 1, 18, 12, 2]","7,1,18,12,2"
1003_2023-05-17 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1003_2023-05-31 15:00:00,"[19, 3, 6, 12, 1]","19,3,6,12,1"
1003_2023-06-21 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1003_2023-09-02 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
1003_2024-01-25 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1003_2024-03-09 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1003_2024-11-13 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1003_2025-01-08 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1004_2022-11-17 15:00:00,"[20, 17, 6, 9, 4]","20,17,6,9,4"
1004_2022-12-08 15:00:00,"[13, 10, 1, 4, 18]","13,10,1,4,18"
1004_2023-02-28 15:00:00,"[19, 3, 6, 12, 1]","19,3,6,12,1"
1004_2023-03-08 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1004_2023-05-11 15:00:00,"[1, 14, 7, 12, 13]","1,14,7,12,13"
1004_2023-06-16 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
1004_2023-07-14 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
1004_2025-05-17 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
1004_2025-07-20 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
1004_2025-08-31 15:00:00,"[1, 14, 7, 12, 13]","1,14,7,12,13"
1005_2022-12-07 15:00:00,"[13, 10, 1, 4, 18]","13,10,1,4,18"
1005_2023-03-31 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
1005_2024-04-09 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
1005_2024-06-02 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1005_2024-07-29 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1005_2024-09-10 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1005_2024-11-27 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1005_2024-12-07 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1005_2025-02-03 15:00:00,"[19, 3, 6, 12, 1]","19,3,6,12,1"
1005_2025-03-30 15:00:00,"[7, 1, 18, 12, 2]","7,1,18,12,2"
1005_2025-05-14 15:00:00,"[2, 3, 5, 8, 7]","2,3,5,8,7"
1006_2023-04-06 15:00:00,"[20, 17, 6, 9, 1]","20,17,6,9,1"
1006_2023-04-15 15:00:00,"[20, 17, 6, 9, 11]","20,17,6,9,11"
1006_2023-07-25 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1006_2023-08-04 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1006_2024-02-17 15:00:00,"[20, 17, 6, 9, 10]","20,17,6,9,10"
1006_2024-04-07 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
1006_2024-07-29 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
1006_2024-10-15 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
1006_2025-02-12 15:00:00,"[11, 8, 12, 10, 14]","11,8,12,10,14"
1006_2025-06-12 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
1007_2023-01-12 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
1007_2023-04-04 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1007_2023-05-31 15:00:00,"[13, 10, 1, 4, 18]","13,10,1,4,18"
1007_2024-03-14 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1007_2024-04-01 15:00:00,"[7, 1, 18, 12, 2]","7,1,18,12,2"
1007_2024-11-10 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
1007_2025-03-30 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1007_2025-03-31 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1007_2025-09-28 15:00:00,"[3, 2, 19, 13, 4]","3,2,19,13,4"
1007_2025-10-07 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
1008_2023-10-09 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1008_2024-09-02 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1008_2024-09-13 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1008_2024-12-15 15:00:00,"[4, 13, 10, 12, 17]","4,13,10,12,17"
1008_2025-07-16 15:00:00,"[19, 3, 6, 12, 1]","19,3,6,12,1"
1008_2025-08-15 15:00:00,"[10, 13, 4, 11, 16]","10,13,4,11,16"
1008_2025-08-18 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
1008_2025-08-24 15:00:00,"[19, 3, 6, 12, 1]","19,3,6,12,1"
1008_2025-11-12 15:00:00,"[19, 3, 6, 12, 1]","19,3,6,12,1"
1009_2022-12-07 15:00:00,"[7, 1, 18, 12, 2]","7,1,18,12,2"
1009_2023-05-26 15:00:00,"[19, 3, 6, 12, 1]","19,3,6,12,1"
1009_2023-06-04 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
1009_2023-10-07 15:00:00,"[17, 15, 1, 9, 20]","17,15,1,9,20"
1009_2024-01-10 15:00:00,"[19, 3, 6, 12, 1]","19,3,6,12,1"
1009_2024-02-20 15:00:00,"[6, 18, 19, 15, 17]","6,18,19,15,17"
1009_2024-04-06 15:00:00,"[20, 17, 6, 9, 10]","20,17,6,9,10"
1009_2024-04-25 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
1009_2024-05-14 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
1009_2024-10-03 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
1009_2025-06-01 15:00:00,"[19, 3, 6, 12, 1]","19,3,6,12,1"
100_2023-02-05 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
100_2023-06-05 15:00:00,"[9, 17, 12, 13, 15]","9,17,12,13,15"
100_2023-09-17 15:00:00,"[18, 6, 15, 8, 5]","18,6,15,8,5"
100_2024-01-17 15:00:00,"[7, 1, 18, 12, 2]","7,1,18,12,2"
100_2025-03-27 15:00:00,"[10, 13, 4, 11, 16]","10,13,4,11,16"
100_2025-04-15 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
100_2025-11-08 15:00:00,"[16, 1, 10, 15, 12]","16,1,10,15,12"
1010_2023-02-09 15:00:00,"[14, 1, 11, 2, 18]","14,1,11,2,18"
1010_2023-11-13 15:00:00,"[5, 18, 2, 8, 1]","5,18,2,8,1"
1010_2024-02-02 15:00:00,"[1, 14, 7, 12, 13]","1,14,7,12,13"
1010_2024-07-28 15:00:00,"[7, 1, 18, 12, 2]","7,1,18,12,2"
1010_2024-08-09 15:00:00,"[8, 11, 18, 5, 2]","8,11,18,5,2"
1011_2023-04-26 15:00:00,"[15, 18, 17, 6, 16]","15,18,17,6,16"
