session_id,services
1_0,"[7, 1, 18, 12, 2]"
1_1,"[8, 11, 18, 5, 2]"
1_2,"[19, 3, 6, 12, 1]"
1_3,"[18, 6, 15, 8, 5]"
1_4,"[9, 17, 12, 13, 15]"
1_5,"[15, 18, 17, 6, 16]"
1_6,"[2, 3, 5, 8, 7]"
1_7,"[3, 2, 19, 13, 4]"
1_8,"[11, 8, 12, 10, 14]"
1_9,"[17, 15, 1, 9, 20]"
1_10,"[9, 17, 12, 13, 15]"
1_11,"[2, 3, 5, 8, 7]"
1_12,"[18, 6, 15, 8, 5]"
1_13,"[15, 18, 17, 6, 16]"
1_14,"[9, 17, 12, 13, 15]"
1_15,"[6, 18, 19, 15, 17]"
1_16,"[16, 1, 10, 15, 12]"
1_17,"[18, 6, 15, 8, 5]"
1_18,"[1, 14, 7, 12, 13]"
2_0,"[4, 13, 10, 12, 17]"
2_1,"[14, 1, 11, 2, 18]"
2_2,"[4, 13, 10, 12, 17]"
2_3,"[1, 14, 7, 12, 13]"
2_4,"[8, 11, 18, 5, 2]"
2_5,"[19, 3, 6, 12, 1]"
2_6,"[15, 18, 17, 6, 16]"
2_7,"[9, 17, 12, 13, 15]"
2_8,"[2, 3, 5, 8, 7]"
2_9,"[15, 18, 17, 6, 16]"
2_10,"[6, 18, 19, 15, 17]"
2_11,"[3, 2, 19, 13, 4]"
2_12,"[10, 13, 4, 11, 16]"
2_13,"[20, 17, 6, 9, 11]"
2_14,"[6, 18, 19, 15, 17]"
3_0,"[13, 10, 1, 4, 18]"
3_1,"[9, 17, 12, 13, 15]"
3_2,"[3, 2, 19, 13, 4]"
3_3,"[11, 8, 12, 10, 14]"
3_4,"[9, 17, 12, 13, 15]"
3_5,"[1, 14, 7, 12, 13]"
3_6,"[6, 18, 19, 15, 17]"
3_7,"[11, 8, 12, 10, 14]"
3_8,"[14, 1, 11, 2, 18]"
3_9,"[2, 3, 5, 8, 7]"
3_10,"[13, 10, 1, 4, 18]"
3_11,"[7, 1, 18, 12, 2]"
3_12,"[4, 13, 10, 12, 17]"
3_13,"[14, 1, 11, 2, 18]"
3_14,"[5, 18, 2, 8, 1]"
3_15,"[19, 3, 6, 12, 1]"
3_16,"[10, 13, 4, 11, 16]"
3_17,"[19, 3, 6, 12, 1]"
4_0,"[17, 15, 1, 9, 20]"
4_1,"[19, 3, 6, 12, 1]"
4_2,"[16, 1, 10, 15, 12]"
5_0,"[4, 13, 10, 12, 17]"
5_1,"[5, 18, 2, 8, 1]"
5_2,"[8, 11, 18, 5, 2]"
5_3,"[5, 18, 2, 8, 1]"
5_4,"[14, 1, 11, 2, 18]"
5_5,"[5, 18, 2, 8, 1]"
5_6,"[7, 1, 18, 12, 2]"
5_7,"[13, 10, 1, 4, 18]"
5_8,"[3, 2, 19, 13, 4]"
5_9,"[7, 1, 18, 12, 2]"
5_10,"[17, 15, 1, 9, 20]"
5_11,"[3, 2, 19, 13, 4]"
6_0,"[2, 3, 5, 8, 7]"
6_1,"[13, 10, 1, 4, 18]"
6_2,"[4, 13, 10, 12, 17]"
6_3,"[14, 1, 11, 2, 18]"
6_4,"[18, 6, 15, 8, 5]"
6_5,"[10, 13, 4, 11, 16]"
6_6,"[12, 1, 11, 7, 9]"
6_7,"[4, 13, 10, 12, 17]"
6_8,"[3, 2, 19, 13, 4]"
6_9,"[20, 17, 6, 9, 19]"
6_10,"[16, 1, 10, 15, 12]"
6_11,"[17, 15, 1, 9, 20]"
6_12,"[3, 2, 19, 13, 4]"
6_13,"[3, 2, 19, 13, 4]"
6_14,"[2, 3, 5, 8, 7]"
6_15,"[9, 17, 12, 13, 15]"
6_16,"[12, 1, 11, 7, 9]"
6_17,"[3, 2, 19, 13, 4]"
6_18,"[16, 1, 10, 15, 12]"
7_0,"[8, 11, 18, 5, 2]"
7_1,"[19, 3, 6, 12, 1]"
7_2,"[7, 1, 18, 12, 2]"
7_3,"[2, 3, 5, 8, 7]"
7_4,"[5, 18, 2, 8, 1]"
7_5,"[19, 3, 6, 12, 1]"
7_6,"[19, 3, 6, 12, 1]"
8_0,"[2, 3, 5, 8, 7]"
8_1,"[13, 10, 1, 4, 18]"
8_2,"[9, 17, 12, 13, 15]"
8_3,"[11, 8, 12, 10, 14]"
8_4,"[1, 14, 7, 12, 13]"
8_5,"[20, 17, 6, 9, 2]"
8_6,"[1, 14, 7, 12, 13]"
8_7,"[17, 15, 1, 9, 20]"
8_8,"[14, 1, 11, 2, 18]"
8_9,"[11, 8, 12, 10, 14]"
8_10,"[11, 8, 12, 10, 14]"
8_11,"[15, 18, 17, 6, 16]"
8_12,"[16, 1, 10, 15, 12]"
9_0,"[18, 6, 15, 8, 5]"
9_1,"[6, 18, 19, 15, 17]"
9_2,"[8, 11, 18, 5, 2]"
9_3,"[3, 2, 19, 13, 4]"
10_0,"[15, 18, 17, 6, 16]"
10_1,"[3, 2, 19, 13, 4]"
10_2,"[7, 1, 18, 12, 2]"
10_3,"[5, 18, 2, 8, 1]"
10_4,"[6, 18, 19, 15, 17]"
11_0,"[15, 18, 17, 6, 16]"
11_1,"[20, 17, 6, 9, 19]"
11_2,"[4, 13, 10, 12, 17]"
11_3,"[15, 18, 17, 6, 16]"
11_4,"[5, 18, 2, 8, 1]"
11_5,"[4, 13, 10, 12, 17]"
11_6,"[1, 14, 7, 12, 13]"
12_0,"[15, 18, 17, 6, 16]"
12_1,"[14, 1, 11, 2, 18]"
12_2,"[9, 17, 12, 13, 15]"
12_3,"[14, 1, 11, 2, 18]"
12_4,"[5, 18, 2, 8, 1]"
12_5,"[13, 10, 1, 4, 18]"
13_0,"[5, 18, 2, 8, 1]"
13_1,"[16, 1, 10, 15, 12]"
13_2,"[18, 6, 15, 8, 5]"
13_3,"[16, 1, 10, 15, 12]"
13_4,"[15, 18, 17, 6, 16]"
14_0,"[17, 15, 1, 9, 20]"
14_1,"[4, 13, 10, 12, 17]"
14_2,"[8, 11, 18, 5, 2]"
14_3,"[10, 13, 4, 11, 16]"
14_4,"[19, 3, 6, 12, 1]"
14_5,"[19, 3, 6, 12, 1]"
14_6,"[15, 18, 17, 6, 16]"
14_7,"[10, 13, 4, 11, 16]"
14_8,"[14, 1, 11, 2, 18]"
14_9,"[4, 13, 10, 12, 17]"
14_10,"[20, 17, 6, 9, 7]"
14_11,"[20, 17, 6, 9, 5]"
14_12,"[4, 13, 10, 12, 17]"
14_13,"[8, 11, 18, 5, 2]"
14_14,"[5, 18, 2, 8, 1]"
15_0,"[9, 17, 12, 13, 15]"
15_1,"[18, 6, 15, 8, 5]"
15_2,"[20, 17, 6, 9, 5]"
15_3,"[6, 18, 19, 15, 17]"
15_4,"[2, 3, 5, 8, 7]"
15_5,"[16, 1, 10, 15, 12]"
15_6,"[14, 1, 11, 2, 18]"
16_0,"[14, 1, 11, 2, 18]"
16_1,"[7, 1, 18, 12, 2]"
16_2,"[18, 6, 15, 8, 5]"
16_3,"[16, 1, 10, 15, 12]"
16_4,"[4, 13, 10, 12, 17]"
16_5,"[3, 2, 19, 13, 4]"
16_6,"[19, 3, 6, 12, 1]"
17_0,"[7, 1, 18, 12, 2]"
17_1,"[2, 3, 5, 8, 7]"
17_2,"[13, 10, 1, 4, 18]"
17_3,"[9, 17, 12, 13, 15]"
17_4,"[15, 18, 17, 6, 16]"
